Fecha,cuatro,indice
1Q Ene 2000,0.747592277,0
2Q Ene 2000,0.688547441,1
1Q Feb 2000,0.561754097,2
2Q Feb 2000,0.383536417,3
1Q Mar 2000,0.310911735,4
2Q Mar 2000,0.286283292,5
1Q Abr 2000,0.296449903,6
2Q Abr 2000,0.170490162,7
1Q May 2000,0.265520184,8
2Q May 2000,0.17243693,9
1Q Jun 2000,0.185045001,10
2Q Jun 2000,0.128322209,11
1Q Jul 2000,0.164280538,12
2Q Jul 2000,0.20732488,13
1Q Ago 2000,0.222286923,14
2Q Ago 2000,0.183264207,15
1Q Sep 2000,0.561569048,16
2Q Sep 2000,0.231763619,17
1Q Oct 2000,0.289798375,18
2Q Oct 2000,0.232981346,19
1Q Nov 2000,0.375967714,20
2Q Nov 2000,0.28445907,21
1Q Dic 2000,0.333035221,22
2Q Dic 2000,0.174684859,23
1Q Ene 2001,0.466864442,24
2Q Ene 2001,0.37544649,25
1Q Feb 2001,0.415174553,26
2Q Feb 2001,0.299889564,27
1Q Mar 2001,0.323534334,28
2Q Mar 2001,0.248599852,29
1Q Abr 2001,0.265233899,30
2Q Abr 2001,0.183309635,31
1Q May 2001,0.187525263,32
2Q May 2001,0.162348256,33
1Q Jun 2001,0.169669135,34
2Q Jun 2001,0.139765201,35
1Q Jul 2001,0.078761119,36
2Q Jul 2001,0.011159974,37
1Q Ago 2001,0.309713298,38
2Q Ago 2001,0.036135366,39
1Q Sep 2001,0.632273303,40
2Q Sep 2001,0.21142662,41
1Q Oct 2001,0.089339652,42
2Q Oct 2001,0.113811849,43
1Q Nov 2001,0.120599297,44
2Q Nov 2001,0.122682555,45
1Q Dic 2001,0.145077307,46
2Q Dic 2001,0.065951555,47
1Q Ene 2002,0.316931017,48
2Q Ene 2002,0.296600379,49
1Q Feb 2002,0.429872863,50
2Q Feb 2002,0.256256179,51
1Q Mar 2002,0.201847304,52
2Q Mar 2002,0.153600936,53
1Q Abr 2002,0.235874842,54
2Q Abr 2002,0.087309843,55
1Q May 2002,0.093407032,56
2Q May 2002,0.095586071,57
1Q Jun 2002,0.064051528,58
2Q Jun 2002,0.029177519,59
1Q Jul 2002,0.075681301,60
2Q Jul 2002,0.088200637,61
1Q Ago 2002,0.222832873,62
2Q Ago 2002,0.139431689,63
1Q Sep 2002,0.526502791,64
2Q Sep 2002,0.123233562,65
1Q Oct 2002,0.11459519,66
2Q Oct 2002,0.11370473,67
1Q Nov 2002,0.080176305,68
2Q Nov 2002,0.111297885,69
1Q Dic 2002,0.091105721,70
2Q Dic 2002,0.122487883,71
1Q Ene 2003,0.248908243,72
2Q Ene 2003,0.268527529,73
1Q Feb 2003,0.258636553,74
2Q Feb 2003,0.205521395,75
1Q Mar 2003,0.210067061,76
2Q Mar 2003,0.186165908,77
1Q Abr 2003,0.190654791,78
2Q Abr 2003,0.109458185,79
1Q May 2003,0.135334809,80
2Q May 2003,0.150053325,81
1Q Jun 2003,0.026092889,82
2Q Jun 2003,0.015535635,83
1Q Jul 2003,0.076893451,84
2Q Jul 2003,0.101980193,85
1Q Ago 2003,0.274622638,86
2Q Ago 2003,0.064461065,87
1Q Sep 2003,0.402419902,88
