Fecha,cuatro,fecha
1Q Ene 2000,0.747003009,1
2Q Ene 2000,0.542245106,2
1Q Feb 2000,0.488989621,3
2Q Feb 2000,0.250754485,4
1Q Mar 2000,0.318113758,5
2Q Mar 2000,0.220964824,6
1Q Abr 2000,0.340309858,7
2Q Abr 2000,0.234461516,8
1Q May 2000,0.158236182,9
2Q May 2000,0.196076484,10
1Q Jun 2000,0.376741441,11
2Q Jun 2000,0.233454415,12
1Q Jul 2000,0.206893825,13
2Q Jul 2000,0.131977868,14
1Q Ago 2000,0.25990418,15
2Q Ago 2000,0.445801168,16
1Q Sep 2000,0.449646664,17
2Q Sep 2000,0.114121547,18
1Q Oct 2000,0.440113239,19
2Q Oct 2000,0.380529046,20
1Q Nov 2000,0.541423085,21
2Q Nov 2000,0.243847079,22
1Q Dic 2000,0.719562726,23
2Q Dic 2000,0.476479134,24
1Q Ene 2001,0.283347192,25
2Q Ene 2001,0.065020797,26
1Q Feb 2001,-0.131139453,27
2Q Feb 2001,0.065064939,28
1Q Mar 2001,0.339294854,29
2Q Mar 2001,0.521066373,30
1Q Abr 2001,0.148858247,31
2Q Abr 2001,0.189891772,32
1Q May 2001,0.023655378,33
2Q May 2001,0.221895889,34
1Q Jun 2001,0.106915041,35
2Q Jun 2001,0.03724915,36
1Q Jul 2001,-0.357809408,37
2Q Jul 2001,0.159694997,38
1Q Ago 2001,0.345114131,39
2Q Ago 2001,0.332597757,40
1Q Sep 2001,0.673993863,41
2Q Sep 2001,0.178297838,42
1Q Oct 2001,0.249173739,43
2Q Oct 2001,0.226218465,44
1Q Nov 2001,0.277706406,45
2Q Nov 2001,-0.028777104,46
1Q Dic 2001,0.155038442,47
2Q Dic 2001,-0.00426783,48
1Q Ene 2002,0.728209103,49
2Q Ene 2002,0.391842645,50
1Q Feb 2002,-0.2608657,51
2Q Feb 2002,0.002821105,52
1Q Mar 2002,0.289471816,53
2Q Mar 2002,0.440268953,54
1Q Abr 2002,0.450873831,55
2Q Abr 2002,-0.248928589,56
1Q May 2002,0.27337741,57
2Q May 2002,0.108161097,58
1Q Jun 2002,0.350307215,59
2Q Jun 2002,0.165662988,60
1Q Jul 2002,0.13,61
2Q Jul 2002,0.148806551,62
1Q Ago 2002,0.247310005,63
2Q Ago 2002,0.116386642,64
1Q Sep 2002,0.4938198,65
2Q Sep 2002,0.095905716,66
1Q Oct 2002,0.338805587,67
2Q Oct 2002,0.109272403,68
1Q Nov 2002,0.609684144,69
2Q Nov 2002,0.284424114,70
1Q Dic 2002,0.226114246,71
2Q Dic 2002,0.134195556,72
1Q Ene 2003,0.316587843,73
2Q Ene 2003,0.04065867,74
1Q Feb 2003,0.149021202,75
2Q Feb 2003,0.216435577,76
1Q Mar 2003,0.394334693,77
2Q Mar 2003,0.255454825,78
1Q Abr 2003,0.011494914,79
2Q Abr 2003,0.063214758,80
1Q May 2003,-0.412550731,81
2Q May 2003,0.116300305,82
1Q Jun 2003,-0.020160903,83
2Q Jun 2003,0.090262241,84
1Q Jul 2003,0.085383988,85
2Q Jul 2003,0.029715118,86
1Q Ago 2003,0.181112549,87
2Q Ago 2003,0.205655035,88
1Q Sep 2003,0.473467673,89
2Q Sep 2003,0.037052872,90
1Q Oct 2003,0.282067354,91
2Q Oct 2003,0.132587058,92
1Q Nov 2003,0.686648192,93
2Q Nov 2003,0.152174117,94
1Q Dic 2003,0.223224754,95
2Q Dic 2003,0.261096606,96
1Q Ene 2004,0.329487754,97
2Q Ene 2004,0.320032748,98
1Q Feb 2004,0.319939165,99
2Q Feb 2004,0.234798203,100
1Q Mar 2004,0.184447396,101
2Q Mar 2004,0.074563664,102
1Q Abr 2004,-0.00275956,103
2Q Abr 2004,0.230889523,104
1Q May 2004,-0.373528143,105
2Q May 2004,0.01750281,106
1Q Jun 2004,0.09210393,107
2Q Jun 2004,0.117784546,108
1Q Jul 2004,0.14889569,109
2Q Jul 2004,0.109211384,110
1Q Ago 2004,0.380447737,111
2Q Ago 2004,0.361653744,112
1Q Sep 2004,0.552355473,113
2Q Sep 2004,0.184615385,114
1Q Oct 2004,0.514886544,115
2Q Oct 2004,0.168952316,116
1Q Nov 2004,0.640577058,117
2Q Nov 2004,0.254065041,118
1Q Dic 2004,0.151163514,119
2Q Dic 2004,-0.14294466,120
1Q Ene 2005,0.083577843,121
2Q Ene 2005,-0.01776767,122
1Q Feb 2005,0.170599943,123
