Fecha,cuatro,indice
1,0.747592277,1
2,0.688547441,2
3,0.561754097,3
4,0.383536417,4
5,0.310911735,5
6,0.286283292,6
7,0.296449903,7
8,0.170490162,8
9,0.265520184,9
10,0.17243693,10
11,0.185045001,11
12,0.128322209,12
13,0.164280538,13
14,0.20732488,14
15,0.222286923,15
16,0.183264207,16
17,0.561569048,17
18,0.231763619,18
19,0.289798375,19
20,0.232981346,20
21,0.375967714,21
22,0.28445907,22
23,0.333035221,23
24,0.174684859,24
25,0.466864442,25
26,0.37544649,26
27,0.415174553,27
28,0.299889564,28
29,0.323534334,29
30,0.248599852,30
31,0.265233899,31
32,0.183309635,32
33,0.187525263,33
34,0.162348256,34
35,0.169669135,35
36,0.139765201,36
37,0.078761119,37
38,0.011159974,38
39,0.309713298,39
40,0.036135366,40
41,0.632273303,41
42,0.21142662,42
43,0.089339652,43
44,0.113811849,44
45,0.120599297,45
46,0.122682555,46
47,0.145077307,47
48,0.065951555,48
49,0.316931017,49
50,0.296600379,50
51,0.429872863,51
52,0.256256179,52
53,0.201847304,53
54,0.153600936,54
55,0.235874842,55
56,0.087309843,56
57,0.093407032,57
58,0.095586071,58
59,0.064051528,59
60,0.029177519,60
61,0.075681301,61
62,0.088200637,62
63,0.222832873,63
64,0.139431689,64
65,0.526502791,65
66,0.123233562,66
67,0.11459519,67
68,0.11370473,68
69,0.080176305,69
70,0.111297885,70
71,0.091105721,71
72,0.122487883,72
73,0.248908243,73
74,0.268527529,74
75,0.258636553,75
76,0.205521395,76
77,0.210067061,77
78,0.186165908,78
79,0.190654791,79
80,0.109458185,80
81,0.135334809,81
82,0.150053325,82
83,0.026092889,83
84,0.015535635,84
85,0.076893451,85
86,0.101980193,86
87,0.274622638,87
88,0.064461065,88
89,0.402419902,89
90,0.088734261,90
91,0.132966443,91
92,0.074388723,92
93,0.157441424,93
94,0.135819598,94
95,0.139007901,95
96,0.164325877,96
97,0.187910203,97
98,0.228822407,98
99,0.239314266,99
100,0.19293251,100
101,0.176332343,101
102,0.187178695,102
103,0.175721461,103
104,0.119660108,104
105,0.107116625,105
106,0.127359136,106
107,0.154205877,107
108,0.095876734,108
109,0.084635519,109
110,0.083053548,110
111,0.163568308,111
112,0.145222738,112
113,0.440957387,113
114,0.116529873,114
115,0.167164916,115
116,0.123152854,116
117,0.128417608,117
118,0.094739635,118
119,0.176874405,119
120,0.108990543,120
121,0.239655834,121
122,0.16028224,122
123,0.224216451,123
124,0.167068525,124
125,0.158652087,125
126,0.085582104,126
127,0.099084158,127
128,0.096281762,128
129,0.09023145,129
130,0.110259288,130
131,0.114118254,131
132,0.146682083,132
133,0.098168919,133
134,0.068241582,134
135,0.09993658,135
136,0.007901696,136
137,0.419563999,137
138,0.113860663,138
139,0.12580319,139
140,0.1116246,140
141,0.105362497,141
142,0.089101277,142
143,0.190429361,143
144,0.094784236,144
145,0.106558889,145
146,0.127339477,146
147,0.20378302,147
148,0.118289544,148
149,0.206624082,149
150,0.260574144,150
151,0.19995798,151
152,0.018057104,152
153,0.0578167,153
154,0.136597434,154
155,0.172569418,155
156,0.122013244,156
157,0.156888104,157
158,0.081061674,158
159,0.127133757,159
160,0.013057323,160
161,0.470494284,161
162,0.139275387,162
163,0.112413916,163
164,0.097767349,164
165,0.131215007,165
166,0.163418271,166
167,0.279892839,167
168,0.067727844,168
169,0.322480483,169
170,0.214846523,170
171,0.213446373,171
172,0.118406368,172
173,0.139580138,173
174,0.191332036,174
175,0.040673021,175
176,0.114252898,176
177,0.097835165,177
178,0.085476643,178
179,0.159476744,179
180,0.166671013,180
181,0.17274518,181
182,0.094902016,182
183,0.172302521,183
184,0.101357994,184
185,0.369977289,185
186,0.114522108,186
187,0.185243118,187
188,0.169835129,188
189,0.121412439,189
190,0.040781193,190
191,0.30169479,191
192,0.119728508,192
193,0.242838489,193
194,0.260984894,194
